wall_time_iso,index,utilization.gpu [%],utilization.memory [%],memory.used [MiB],power.draw [W],clocks.current.graphics [MHz],temperature.gpu
2026/05/19 18:01:32.935, 0, 60, 22, 5335, 107.52, 2565, 43
2026/05/19 18:01:32.939, 1, 5, 0, 3680, 56.76, 2565, 47
2026/05/19 18:01:33.167, 0, 60, 22, 4615, 107.52, 2565, 43
2026/05/19 18:01:33.170, 1, 11, 1, 3674, 57.21, 2565, 47
2026/05/19 18:01:33.401, 0, 60, 22, 1175, 98.22, 2565, 38
2026/05/19 18:01:33.404, 1, 11, 1, 3657, 57.21, 2565, 47
2026/05/19 18:01:33.633, 0, 60, 22, 1211, 98.22, 2565, 38
2026/05/19 18:01:33.636, 1, 11, 1, 3658, 58.82, 2565, 48
2026/05/19 18:01:33.864, 0, 1, 0, 1211, 81.02, 2565, 38
2026/05/19 18:01:33.867, 1, 11, 1, 3658, 58.82, 2565, 48
2026/05/19 18:01:34.095, 0, 1, 0, 1211, 81.02, 2565, 38
2026/05/19 18:01:34.097, 1, 11, 1, 3658, 58.82, 2565, 48
2026/05/19 18:01:34.326, 0, 1, 0, 1211, 81.02, 2565, 38
2026/05/19 18:01:34.329, 1, 11, 2, 3658, 59.29, 2565, 48
2026/05/19 18:01:34.557, 0, 1, 0, 1211, 62.40, 2565, 38
2026/05/19 18:01:34.559, 1, 11, 2, 3654, 59.29, 2565, 48
2026/05/19 18:01:34.788, 0, 1, 0, 1211, 62.40, 2565, 38
2026/05/19 18:01:34.790, 1, 11, 2, 3654, 58.84, 2565, 48
2026/05/19 18:01:35.019, 0, 0, 0, 1211, 61.62, 2565, 38
2026/05/19 18:01:35.022, 1, 11, 2, 3654, 58.84, 2565, 48
2026/05/19 18:01:35.249, 0, 0, 0, 1211, 61.62, 2565, 38
2026/05/19 18:01:35.252, 1, 6, 0, 3654, 57.31, 2565, 48
2026/05/19 18:01:35.480, 0, 0, 0, 1211, 61.01, 2565, 38
2026/05/19 18:01:35.483, 1, 6, 0, 3654, 57.31, 2565, 48
2026/05/19 18:01:35.711, 0, 0, 0, 1211, 61.01, 2565, 38
2026/05/19 18:01:35.713, 1, 6, 0, 3654, 55.71, 2565, 48
2026/05/19 18:01:35.946, 0, 0, 0, 1211, 60.90, 2565, 38
2026/05/19 18:01:35.948, 1, 6, 0, 3654, 55.71, 2565, 48
2026/05/19 18:01:36.176, 0, 0, 0, 1211, 60.90, 2565, 38
2026/05/19 18:01:36.179, 1, 6, 0, 3654, 55.30, 2565, 48
2026/05/19 18:01:36.406, 0, 0, 0, 1211, 59.93, 2565, 38
2026/05/19 18:01:36.409, 1, 6, 0, 3684, 55.30, 2565, 48
2026/05/19 18:01:36.637, 0, 0, 0, 1211, 59.93, 2565, 38
2026/05/19 18:01:36.640, 1, 6, 0, 3684, 56.65, 2565, 48
2026/05/19 18:01:36.868, 0, 1, 0, 1609, 60.58, 2565, 38
