timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], memory.used [MiB], temperature.gpu
2026/05/10 16:33:20.237, 0 %, 0 %, 13.82 W, 1946 MiB, 47
2026/05/10 16:33:20.445, 0 %, 0 %, 13.61 W, 1946 MiB, 47
2026/05/10 16:33:20.648, 57 %, 5 %, 24.96 W, 2170 MiB, 47
2026/05/10 16:33:20.851, 78 %, 11 %, 25.53 W, 3148 MiB, 47
2026/05/10 16:33:21.053, 36 %, 2 %, 35.77 W, 4242 MiB, 48
2026/05/10 16:33:21.256, 82 %, 11 %, 46.80 W, 5166 MiB, 48
2026/05/10 16:33:21.458, 57 %, 12 %, 110.39 W, 5626 MiB, 48
2026/05/10 16:33:21.660, 22 %, 4 %, 95.36 W, 5626 MiB, 53
2026/05/10 16:33:21.866, 12 %, 4 %, 75.49 W, 1832 MiB, 53
2026/05/10 16:33:22.074, 0 %, 0 %, 49.94 W, 1832 MiB, 50
2026/05/10 16:33:22.276, 0 %, 0 %, 24.20 W, 1832 MiB, 50
2026/05/10 16:33:22.477, 0 %, 0 %, 24.00 W, 1832 MiB, 50
2026/05/10 16:33:22.679, 0 %, 0 %, 24.27 W, 1832 MiB, 49
2026/05/10 16:33:22.880, 0 %, 0 %, 22.94 W, 1832 MiB, 49
2026/05/10 16:33:23.081, 0 %, 0 %, 17.26 W, 1832 MiB, 49
2026/05/10 16:33:23.284, 0 %, 0 %, 19.25 W, 1832 MiB, 48
2026/05/10 16:33:23.486, 0 %, 0 %, 17.65 W, 1832 MiB, 48
2026/05/10 16:33:23.688, 0 %, 0 %, 17.37 W, 1832 MiB, 48
2026/05/10 16:33:23.890, 0 %, 0 %, 17.09 W, 1832 MiB, 48
2026/05/10 16:33:24.093, 0 %, 0 %, 17.36 W, 1832 MiB, 48
2026/05/10 16:33:24.295, 0 %, 0 %, 17.21 W, 1832 MiB, 48
2026/05/10 16:33:24.501, 0 %, 0 %, 17.21 W, 1832 MiB, 48
2026/05/10 16:33:24.703, 0 %, 0 %, 16.82 W, 1832 MiB, 48
2026/05/10 16:33:24.914, 0 %, 0 %, 17.41 W, 1832 MiB, 48
2026/05/10 16:33:25.116, 0 %, 0 %, 17.41 W, 1832 MiB, 48
2026/05/10 16:33:25.317, 0 %, 0 %, 17.41 W, 1832 MiB, 48
2026/05/10 16:33:25.519, 0 %, 0 %, 17.41 W, 1832 MiB, 48
2026/05/10 16:33:25.726, 0 %, 0 %, 17.39 W, 1832 MiB, 48
2026/05/10 16:33:25.928, 0 %, 0 %, 16.40 W, 1832 MiB, 48
2026/05/10 16:33:26.133, 0 %, 0 %, 16.08 W, 1832 MiB, 48
2026/05/10 16:33:26.335, 0 %, 0 %, 15.78 W, 1832 MiB, 48
2026/05/10 16:33:26.537, 0 %, 0 %, 16.03 W, 1832 MiB, 48
2026/05/10 16:33:26.740, 0 %, 12 %, 13.91 W, 1832 MiB, 48
2026/05/10 16:33:26.942, 0 %, 0 %, 13.91 W, 1832 MiB, 48
2026/05/10 16:33:27.143, 0 %, 0 %, 13.91 W, 1832 MiB, 48
2026/05/10 16:33:27.346, 0 %, 0 %, 13.91 W, 1832 MiB, 48
2026/05/10 16:33:27.547, 0 %, 0 %, 8.82 W, 1832 MiB, 48
2026/05/10 16:33:27.750, 0 %, 0 %, 8.17 W, 1832 MiB, 48
2026/05/10 16:33:27.953, 0 %, 0 %, 9.84 W, 1832 MiB, 48
2026/05/10 16:33:28.156, 0 %, 0 %, 8.92 W, 1832 MiB, 48
